episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
0,25.0333,0.5333,0.0000,3.3000,6,0.4667,20.7333,9.3333,16.6667,5.2667,6.6787,6.8319,10,18,3,4,4.3000,0.1718,3
1,25.0333,0.0000,0.2000,4.5333,8,1.0333,19.2667,8.1000,12.5667,1.4000,4.1279,5.1960,5,9,2,2,5.7667,0.2304,3
2,25.0333,0.0000,0.0000,3.9333,8,0.2333,20.8667,8.9000,14.4333,2.4667,4.5437,6.6956,9,22,5,4,4.1667,0.1664,3
3,25.0333,0.0000,1.3000,7.3333,10,0.9667,15.4333,6.1667,9.2667,0.0000,3.9407,3.1857,5,8,2,4,9.6000,0.3835,3
4,25.0000,0.0000,0.0000,2.1000,4,0.6667,22.2333,8.5667,18.1667,4.5000,5.1761,9.3615,12,24,3,4,2.7667,0.1107,3
5,25.0333,0.0000,0.0000,2.6667,4,0.3000,22.0667,11.4667,18.5667,7.9667,7.2678,8.8267,12,20,4,4,2.9667,0.1185,3
6,25.0000,0.2667,0.0000,1.4667,4,1.1667,22.1000,11.2000,17.0667,6.1667,6.8873,8.1954,10,17,3,4,2.9000,0.1160,3
7,25.0333,0.3667,0.0000,2.5000,5,1.0667,21.1000,9.1333,17.3667,5.4000,5.6097,9.1036,7,25,4,4,3.9333,0.1571,3
8,25.0000,0.0000,0.0000,2.6000,5,0.6000,21.8000,11.5000,17.1333,6.8333,6.9527,9.1907,14,20,4,4,3.2000,0.1280,3
9,25.0000,0.3000,0.0000,1.5000,3,0.4333,22.7667,15.9000,15.5667,8.7000,8.5117,6.6623,18,12,2,3,2.2333,0.0893,3
10,25.0333,0.0000,0.0000,3.9667,8,1.1667,19.9000,8.5667,14.7667,3.4333,3.6182,6.4353,5,14,4,4,5.1333,0.2051,3
11,25.0333,0.0000,0.0000,2.1333,5,1.1333,21.7667,13.3667,13.6667,5.2667,8.1914,5.5408,25,13,5,4,3.2667,0.1305,3
12,14.1667,0.2000,0.2333,6.0000,8,0.7333,7.0000,5.9333,1.8667,0.8000,3.3251,0.6460,4,0,2,0,7.1667,0.5059,3
