episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max
0,25.0333,24.6000,21.1667,1.1827,7,6,0.6709,1.0425,0.9745,0.7935,0.6325,1.6781,1.8289
1,25.0333,24.9333,20.4000,1.2271,9,8,0.9641,1.0108,1.0256,0.6481,0.6669,1.2653,1.3171
2,25.0333,25.0333,21.6333,1.1572,9,8,0.7904,1.0839,0.9119,0.7249,0.6526,1.6245,1.4521
3,25.0333,23.8333,17.8667,1.4011,11,10,0.7090,1.0772,0.9593,0.5949,0.6360,1.3636,1.6980
4,25.0000,25.0000,22.8333,1.0949,5,4,0.7679,1.0734,0.9446,0.7266,0.6882,1.5293,1.5074
5,25.0333,25.0333,22.6000,1.1077,5,4,0.6475,1.0602,1.0846,0.7210,0.6726,1.9453,1.7427
6,25.0000,24.8333,23.0333,1.0854,5,4,0.6527,1.0791,1.2617,0.7199,0.6857,1.6971,1.7361
7,25.0333,24.7667,21.0667,1.1883,6,5,0.8165,1.0618,1.4369,0.7779,0.6601,1.5772,1.9959
8,25.0000,25.0000,22.9667,1.0885,6,5,0.7199,1.0184,1.1943,0.6950,0.6966,2.1031,2.6960
9,25.0000,24.8000,23.5333,1.0623,4,3,0.4547,1.3126,1.2023,0.7205,0.6468,2.1762,2.6720
10,25.0333,25.0333,20.9667,1.1940,9,8,0.9682,1.0454,1.0430,0.7020,0.6409,1.5542,1.4585
11,25.0333,25.0333,22.8000,1.0980,6,5,0.3114,0.9362,0.9806,0.6144,0.6441,2.4414,3.5139
12,14.1667,13.9333,9.2333,1.5343,9,8,0.5957,0.8915,0.9369,0.4423,0.5029,3.6489,3.5135
13,30.0000,28.1333,25.3333,1.1842,8,7,0.3289,0.9553,0.9401,0.5918,0.6041,2.2525,2.7928
14,30.0000,29.6000,26.8000,1.1194,6,5,0.6654,1.1268,1.3937,0.7102,0.6880,2.2922,2.5832
15,30.0333,29.3333,25.5000,1.1778,8,7,0.4954,1.0075,0.9068,0.7024,0.6725,1.7486,2.1246
16,27.9000,27.4333,26.3333,1.0595,3,2,0.6051,1.0817,1.3674,0.7277,0.6825,1.8071,2.0303
17,30.0333,29.1667,27.2667,1.1015,5,4,0.3068,0.9433,1.3707,0.6727,0.7294,2.1111,2.6001
18,30.0000,29.9000,27.2667,1.1002,6,5,0.8985,1.3638,1.7590,0.7878,0.6744,1.9779,2.1887
19,30.0000,30.0000,23.8667,1.2570,10,9,0.7221,1.0028,1.3964,0.6469,0.6485,1.4738,1.8493
20,30.0333,29.5333,27.3667,1.0974,6,5,0.4762,1.0666,1.4999,0.7612,0.6817,2.5574,3.6165
21,30.0000,29.5000,26.4000,1.1364,6,5,0.6098,1.0400,1.2387,0.7155,0.6830,1.4666,2.0616
22,30.0333,29.7333,25.2000,1.1918,9,8,0.6812,1.0720,1.1042,0.6711,0.6409,2.4153,3.1302
23,30.0333,29.4667,26.9667,1.1137,5,4,0.6873,1.2188,1.8738,0.7431,0.6862,1.4783,2.3813
24,30.0333,29.0333,24.4667,1.2275,10,9,0.5599,1.0550,1.2322,0.6832,0.6372,1.9361,2.0337
25,30.0000,29.1333,24.9333,1.2032,7,6,0.5120,1.0101,1.2704,0.6800,0.6515,1.6953,2.7299
26,30.0000,27.6667,25.3000,1.1858,8,7,0.1897,1.0586,0.8305,0.7509,0.5452,1.8355,2.4942
27,30.0000,29.6000,27.1667,1.1043,7,6,0.6945,1.4423,2.0838,0.7408,0.7131,2.1545,2.5044
28,30.0000,29.4333,24.9000,1.2048,5,4,0.9692,1.0821,1.6320,0.7732,0.6889,2.3488,2.0853
29,30.0000,29.8667,26.5000,1.1321,6,5,0.5182,1.0112,1.5528,0.7184,0.6609,2.1376,2.0132
30,30.0000,27.8000,24.7000,1.2146,9,8,0.5101,1.0181,1.2402,0.7679,0.6535,2.0876,3.0244
31,30.0333,30.0333,25.9667,1.1566,8,7,0.5905,1.0445,0.8955,0.7439,0.6252,1.6684,2.0359
32,30.0000,30.0000,26.6000,1.1278,7,6,0.6153,1.3722,1.6382,0.7443,0.7790,2.9466,2.6554
33,30.0333,30.0333,26.1000,1.1507,7,6,0.6731,1.0915,1.6190,0.7623,0.6568,1.7420,2.6239
34,30.0000,28.6333,25.9000,1.1583,7,6,0.3552,1.0703,1.0115,0.7976,0.5999,3.7481,4.5884
35,30.0333,29.3667,25.5667,1.1747,8,7,0.5724,1.2669,1.5297,0.7175,0.6384,1.9150,2.4676
36,30.0333,29.3000,25.9000,1.1596,8,7,0.6744,1.1310,1.1451,0.7424,0.6621,1.6343,1.9355
37,30.0333,28.8667,26.0667,1.1522,7,6,0.1854,1.0363,0.9598,0.7965,0.5464,2.3749,2.3895
38,30.0333,28.1667,23.3667,1.2853,9,8,0.6576,1.2188,1.0111,0.7449,0.6484,2.2001,2.5499
39,30.0000,29.4333,26.3000,1.1407,10,9,0.4347,1.1070,1.5721,0.7267,0.7663,1.9244,2.0079
40,30.0333,29.9667,25.7333,1.1671,8,7,0.3847,1.0080,0.9052,0.7661,0.6012,1.9160,2.2961
41,30.0000,29.2667,25.4667,1.1780,7,6,0.6178,1.1654,1.7542,0.8102,0.6704,2.8141,3.2271
42,30.0000,29.9667,25.1333,1.1936,11,10,0.5995,1.2461,1.6537,0.6375,0.6522,1.5320,2.3223
43,30.0333,30.0333,26.2333,1.1449,9,8,0.4879,1.3233,1.6081,0.7393,0.6285,2.2289,2.7979
44,30.0333,28.9667,25.9333,1.1581,8,7,0.8586,1.1661,1.6171,0.7324,0.6855,1.7593,1.7912
45,30.0000,27.5667,23.5333,1.2748,9,8,0.3414,1.0253,0.9882,0.6352,0.5876,2.5865,2.4490
46,30.0333,29.4667,26.6000,1.1291,10,9,0.4474,1.2420,1.5726,0.6866,0.6759,2.1778,3.1085
47,30.0000,30.0000,27.3000,1.0989,8,7,0.5409,1.0408,1.4853,0.7637,0.6676,2.0675,2.3553
48,30.0333,29.5333,24.7667,1.2127,10,9,0.6729,1.0882,0.9680,0.7216,0.6491,1.4520,1.9414
49,30.0333,26.5000,23.9667,1.2531,7,6,0.3936,1.0192,1.3172,0.6790,0.6734,2.1893,3.0305
50,30.0000,28.5000,24.1667,1.2414,6,5,0.6855,0.9938,1.0563,0.7251,0.6805,1.8964,2.2341
51,30.0000,24.3667,22.0000,1.3636,7,6,0.5955,1.2010,1.2104,0.8241,0.6524,1.5681,1.5883
52,30.0000,28.9667,24.3333,1.2329,11,10,0.3986,1.0545,1.1123,0.7449,0.6129,2.2744,3.9488
53,30.0333,29.4000,25.1333,1.1950,12,11,0.7599,1.2864,1.6275,0.6850,0.7258,1.6158,2.2543
54,30.0000,29.0333,25.4333,1.1796,8,7,0.6383,1.0961,1.1558,0.7795,0.6395,2.3286,3.6982
55,30.0000,29.0000,24.9000,1.2048,8,7,0.3494,1.0170,0.8859,0.7252,0.6326,1.5005,2.3197
56,30.0333,29.0667,26.1333,1.1492,8,7,0.7755,1.2792,1.5797,0.7667,0.7069,1.7624,2.6429
57,30.0333,28.1333,25.6000,1.1732,6,5,0.6419,1.1341,1.4761,0.7472,0.6884,2.0648,2.1830
58,30.0000,30.0000,27.2333,1.1016,9,8,0.6144,1.1508,1.6335,0.7552,0.7132,1.8062,2.5096
59,30.0000,29.7000,25.5667,1.1734,10,9,0.6493,1.0011,1.4495,0.6949,0.6102,1.8987,2.5527
60,30.0333,30.0333,27.3333,1.0988,9,8,0.4573,1.2553,1.7724,0.7175,0.7716,1.9588,2.7176
61,30.0333,29.3333,25.5000,1.1778,8,7,0.6758,1.0965,0.9509,0.7102,0.6539,1.8239,1.5181
62,30.0333,29.5333,26.2000,1.1463,4,3,0.7659,1.4689,1.5414,0.6725,0.6753,1.8955,2.4866
63,30.0333,30.0333,25.6333,1.1717,9,8,0.7191,1.1728,1.4872,0.7362,0.7083,1.4174,2.3247
64,30.0000,29.6667,25.3000,1.1858,9,8,0.6970,1.0226,0.9925,0.7873,0.6493,2.2540,2.9349
65,30.0333,29.5000,27.3333,1.0988,7,6,0.3061,1.0412,1.4507,0.6918,0.6610,1.6917,2.3562
66,30.0000,29.1333,25.2667,1.1873,12,11,0.7889,1.0890,1.4905,0.7006,0.6674,1.5566,2.1762
67,30.0000,29.0333,25.7000,1.1673,9,8,0.9637,1.2005,1.5192,0.7935,0.6667,1.5160,1.8574
68,30.0000,29.7667,25.2000,1.1905,10,9,0.7368,1.0435,1.3822,0.7147,0.6564,1.6061,2.1510
69,30.0000,29.1000,23.7333,1.2640,12,11,0.8329,1.0523,1.4478,0.7250,0.6695,2.1557,3.3739
70,30.0333,30.0333,26.6333,1.1277,10,9,0.3041,1.0115,0.9575,0.6903,0.6026,1.7176,2.0486
71,30.0000,28.8667,25.5000,1.1765,7,6,0.6732,1.0620,1.1004,0.7968,0.6752,1.8597,2.8856
72,30.0000,28.8333,24.5333,1.2228,9,8,0.6386,1.1001,0.9668,0.7272,0.6321,1.4266,1.5333
73,30.0000,30.0000,23.0000,1.3043,13,12,0.7362,1.0162,0.9502,0.6807,0.6251,1.9718,2.3356
74,30.0333,30.0333,25.1667,1.1934,10,9,0.9113,1.0938,0.9528,0.7647,0.6472,2.5192,2.3178
75,30.0333,29.4667,24.6333,1.2192,8,7,0.9932,1.1076,1.5086,0.7914,0.6504,1.5371,1.7974
76,30.0333,30.0333,26.4000,1.1376,10,9,0.3409,1.0237,0.9190,0.7329,0.6094,2.0482,1.7568
77,30.0333,29.3000,24.0000,1.2514,8,7,0.7097,1.0188,1.2887,0.6786,0.6654,1.3150,1.4428
78,30.0000,29.1667,24.1667,1.2414,11,10,0.8828,1.0983,0.9161,0.7521,0.6426,2.1245,2.1068
79,30.0333,30.0000,25.2333,1.1902,13,12,0.3514,1.0213,0.9395,0.5710,0.6024,1.7875,1.8866
