episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max
0,25.0333,24.6000,19.6667,1.2729,7,6,0.7542,1.0679,1.0189,0.8495,0.7406,1.6781,1.8289
1,25.0333,24.9333,18.6000,1.3459,9,8,0.9552,1.0535,1.0731,0.6909,0.7649,1.2653,1.3171
2,25.0333,25.0333,20.0667,1.2475,9,8,0.8322,1.0949,1.0683,0.7765,0.7366,1.6245,1.4521
3,25.0333,23.8333,16.8333,1.4871,11,10,0.8871,1.0931,1.1774,0.7501,0.7233,1.3636,1.6980
4,25.0000,25.0000,20.9667,1.1924,5,4,0.7488,1.0755,1.0731,0.7983,0.7833,1.5293,1.5074
5,25.0333,25.0333,21.3000,1.1753,5,4,0.6745,1.0606,1.1224,0.7847,0.7547,1.9453,1.7427
6,25.0000,24.8333,20.9000,1.1962,5,4,0.9729,1.1187,1.2930,0.8644,0.7780,1.6971,1.7361
7,25.0333,24.7667,19.4667,1.2860,6,5,0.7997,1.0916,1.5296,0.8280,0.7545,1.5772,1.9959
8,25.0000,25.0000,21.3667,1.1700,6,5,0.7005,1.0784,1.2889,0.7693,0.7907,2.1031,2.6960
9,25.0000,24.8000,22.3000,1.1211,4,3,0.9686,1.3396,1.2723,0.8374,0.7776,2.1762,2.6720
10,25.0333,25.0333,19.1333,1.3084,9,8,0.9652,1.0754,1.0697,0.7505,0.7178,1.5542,1.4585
11,25.0333,25.0333,21.7667,1.1501,6,5,0.4502,1.1299,1.0674,0.7371,0.7539,2.4414,3.5139
12,14.1667,13.9333,8.9333,1.5858,9,8,0.6231,0.9495,0.9933,0.5010,0.5826,3.6489,3.5135
13,30.0000,28.1333,24.2333,1.2380,8,7,0.7153,1.4331,1.8848,0.7700,0.8103,2.2525,2.7928
14,30.0000,29.6000,24.9333,1.2032,6,5,0.7727,1.4925,1.6009,0.7858,0.7831,2.2922,2.5832
15,30.0333,29.3333,24.1333,1.2445,8,7,0.9240,1.2981,1.6995,0.7784,0.8179,1.7486,2.1246
16,27.9000,27.4333,24.3000,1.1481,3,2,0.9959,1.1667,1.2378,0.8869,0.7874,1.8071,2.0303
17,30.0333,29.1667,26.0000,1.1551,5,4,0.9756,1.5009,2.0794,0.8722,0.8383,2.1111,2.6001
18,30.0000,29.9000,24.7333,1.2129,6,5,0.9434,1.4009,1.7311,0.8550,0.7507,1.9779,2.1887
19,30.0000,30.0000,21.8333,1.3740,10,9,0.9237,1.0725,1.4130,0.7422,0.7439,1.4738,1.8493
20,30.0333,29.5333,25.3333,1.1855,6,5,0.8684,1.2015,1.5486,0.8892,0.7634,2.5574,3.6165
21,30.0000,29.5000,23.9667,1.2517,6,5,0.9861,1.2018,1.7119,0.8151,0.8205,1.4666,2.0616
22,30.0333,29.7333,23.7000,1.2672,9,8,0.6610,1.1095,1.1201,0.7420,0.7177,2.4153,3.1302
23,30.0333,29.4667,24.4667,1.2275,5,4,0.9959,1.2521,1.9302,0.8085,0.8207,1.4783,2.3813
24,30.0333,29.0333,23.3333,1.2871,10,9,0.6714,1.1847,1.2574,0.8146,0.7301,1.9361,2.0337
25,30.0000,29.1333,22.9000,1.3100,7,6,0.9767,1.3536,1.8185,0.8124,0.8664,1.6953,2.7299
26,30.0000,27.6667,24.0000,1.2500,8,7,0.9806,1.4129,1.7905,0.8551,0.8165,1.8355,2.4942
27,30.0000,29.6000,25.0000,1.2000,7,6,0.9373,1.4424,1.9610,0.8306,0.7926,2.1545,2.5044
28,30.0000,29.4333,22.6000,1.3274,5,4,0.9926,1.1091,1.6929,0.8319,0.7627,2.3488,2.0853
29,30.0000,29.8667,24.6333,1.2179,6,5,0.8606,1.5937,2.0118,0.8227,0.7962,2.1376,2.0132
30,30.0000,27.8000,23.8000,1.2605,9,8,0.4832,1.0455,1.1997,0.8295,0.7350,2.0876,3.0244
31,30.0333,30.0333,24.5667,1.2225,8,7,0.6608,1.0355,1.4203,0.7838,0.7752,1.6684,2.0359
32,30.0000,30.0000,25.2000,1.1905,7,6,0.5886,1.3981,1.7778,0.7870,0.8334,2.9466,2.6554
33,30.0333,30.0333,24.1333,1.2445,7,6,0.7251,1.1205,1.6865,0.8168,0.7684,1.7420,2.6239
34,30.0000,28.6333,24.6667,1.2162,7,6,0.6757,1.2917,1.1072,0.8834,0.7582,3.7481,4.5884
35,30.0333,29.3667,23.4000,1.2835,8,7,0.9772,1.3192,1.6249,0.8591,0.7452,1.9150,2.4676
36,30.0333,29.3000,24.1000,1.2462,8,7,0.7828,1.1389,1.2348,0.8706,0.7642,1.6343,1.9355
37,30.0333,28.8667,24.6000,1.2209,7,6,0.8035,1.2233,1.7185,0.8964,0.7616,2.3749,2.3895
38,30.0333,28.1667,22.1000,1.3590,9,8,0.8643,1.2257,1.3208,0.8318,0.7558,2.2001,2.5499
39,30.0000,29.4333,25.0667,1.1968,10,9,0.6117,1.1342,1.6424,0.8162,0.8388,1.9244,2.0079
40,30.0333,29.9667,24.5333,1.2242,8,7,0.7758,1.2082,1.5379,0.8299,0.7695,1.9160,2.2961
