episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max
0,25.0333,24.6000,22.6667,1.1044,7,6,0.0691,0.2078,0.8061,0.0734,0.2372,1.6781,1.8289
1,25.0333,24.9333,22.3667,1.1192,9,8,0.0999,0.1904,0.5884,0.0777,0.2250,1.2653,1.3171
2,25.0333,25.0333,23.1667,1.0806,9,8,0.1007,0.1952,0.7219,0.0601,0.1685,1.6245,1.4521
3,25.0333,23.8333,19.4667,1.2860,11,10,0.1712,0.1306,0.6478,0.0714,0.1837,1.3636,1.6980
4,25.0000,25.0000,23.8000,1.0504,5,4,0.0448,0.1474,0.8100,0.0772,0.1849,1.5293,1.5074
5,25.0333,25.0333,23.3667,1.0713,5,4,0.0485,0.0779,0.5995,0.0714,0.1653,1.9453,1.7427
6,25.0000,24.8333,24.2667,1.0302,5,4,0.0426,0.1328,0.5217,0.0562,0.2969,1.6971,1.7361
7,25.0333,24.7667,23.3667,1.0713,6,5,0.0542,0.2638,1.0176,0.0653,0.3687,1.5772,1.9959
8,25.0000,25.0000,23.5667,1.0608,6,5,0.0580,0.1560,0.4455,0.0755,0.1907,2.1031,2.6960
9,25.0000,24.8000,24.0333,1.0402,4,3,0.0361,0.0926,0.4625,0.0694,0.1529,2.1762,2.6720
10,25.0333,25.0333,23.2000,1.0790,9,8,0.1049,0.2068,0.8443,0.0810,0.2661,1.5542,1.4585
11,25.0333,25.0333,24.0333,1.0416,6,5,0.0555,0.1273,0.6629,0.0811,0.1771,2.4414,3.5139
12,14.1667,13.9333,10.0333,1.4120,9,8,0.2392,0.2132,1.1654,0.0638,0.2038,3.6489,3.5135
13,30.0000,28.1333,26.5333,1.1307,8,7,0.0766,0.1679,0.5697,0.0597,0.1707,2.2525,2.7928
14,30.0000,29.6000,28.1667,1.0651,6,5,0.0485,0.1505,0.4869,0.0708,0.2276,2.2922,2.5832
