episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
0,40.0000,0.0000,0.0000,9.2667,15,1.2000,29.5333,13.4667,16.6000,0.5333,6.6193,7.5011,9,10,2,2,10.4667,0.2617,3
1,40.0000,0.9667,0.0000,10.5667,18,1.1333,27.3333,9.9667,17.4333,0.0667,5.1961,7.0776,2,11,1,2,12.6667,0.3167,3
2,40.0000,0.0000,0.0000,7.9333,12,1.1333,30.9333,15.8333,15.5667,0.4667,8.1996,6.6229,20,11,1,2,9.0667,0.2267,4
3,40.0333,0.9000,0.0000,9.3333,14,1.4333,28.3667,8.3000,20.2333,0.1667,4.0274,8.4083,3,16,1,2,11.6667,0.2914,3
4,40.0333,1.0667,0.0000,12.5000,22,0.2333,26.2333,9.2333,17.5667,0.5667,4.2855,7.5592,4,13,1,2,13.8000,0.3447,4
5,40.0000,0.4000,0.0000,9.1000,17,2.1333,28.3667,13.3000,16.3333,1.2667,6.3931,6.7499,12,11,2,2,11.6333,0.2908,3
6,40.0000,0.5333,0.2333,10.7667,19,1.6000,26.8667,9.5000,17.8333,0.4667,5.2209,7.3066,8,14,2,2,13.1333,0.3283,3
7,40.0333,1.4667,0.0000,10.4667,12,2.4667,25.6333,13.4667,13.7667,1.6000,5.6500,6.9909,13,12,2,2,14.4000,0.3597,3
8,40.0000,0.9667,0.0000,11.7000,17,1.0667,26.2667,12.1333,14.3333,0.2000,4.8118,6.6020,9,11,2,2,13.7333,0.3433,3
9,40.0000,0.0667,0.0000,11.3000,19,1.6667,26.9667,17.3333,10.8333,1.2000,7.0707,4.2645,15,8,2,1,13.0333,0.3258,4
10,40.0333,0.1333,0.0000,11.4333,14,1.2333,27.2333,26.9667,0.6667,0.4000,13.4724,0.6066,32,0,2,0,12.8000,0.3197,4
11,40.0333,0.8333,0.2000,10.6000,18,0.4667,27.9333,9.9333,18.2667,0.2667,5.2818,7.5040,16,15,2,2,12.1000,0.3022,4
12,40.0000,1.0667,0.0000,9.6667,20,1.5000,27.7667,15.0000,13.4000,0.6333,6.4795,5.9688,13,13,2,2,12.2333,0.3058,3
13,40.0000,1.1000,3.3333,10.3333,16,1.1000,24.1333,13.5667,10.6667,0.1000,5.2850,3.6441,13,6,2,3,15.8667,0.3967,3
14,40.0333,0.0000,0.0000,8.5333,18,1.4667,30.0333,15.2000,15.7000,0.8667,6.3193,6.4400,9,13,2,2,10.0000,0.2498,3
15,40.0333,0.0000,0.0000,12.8333,22,1.8333,25.3667,14.4667,11.2000,0.3000,5.8631,5.5475,13,8,2,2,14.6667,0.3664,3
16,40.0333,0.9667,0.0000,7.1000,14,1.6333,30.3333,17.1333,13.4000,0.2000,7.1293,4.9703,12,15,2,1,9.7000,0.2423,3
17,40.0000,0.9333,0.0000,8.1667,13,2.0333,28.8667,11.9333,16.9333,0.0000,4.2972,7.4871,7,13,1,2,11.1333,0.2783,3
18,40.0000,0.6333,0.0000,10.1667,17,1.4667,27.7333,14.2333,14.8667,1.3667,6.6982,7.7909,9,32,2,2,12.2667,0.3067,3
19,40.0333,1.8333,0.0000,5.6000,12,2.4333,30.1667,13.7667,16.9000,0.5000,6.4394,7.2342,12,14,2,2,9.8667,0.2465,3
20,40.0000,0.7333,0.0000,4.8000,10,1.7667,32.7000,17.2333,18.1000,2.6333,7.2123,8.2070,9,16,2,2,7.3000,0.1825,3
21,40.0333,0.3333,3.2000,6.2000,9,1.4333,28.8667,14.6000,15.6000,1.3333,7.1994,6.8591,9,13,2,2,11.1667,0.2789,3
22,40.0000,0.0000,0.0000,5.3000,11,1.7667,32.9333,17.3667,17.8000,2.2333,6.3918,7.7583,17,12,3,2,7.0667,0.1767,4
23,40.0333,0.0000,0.0000,4.9333,8,2.0000,33.1000,20.6667,16.8667,4.4333,10.9174,7.1753,24,13,2,2,6.9333,0.1732,3
24,40.0000,0.0000,0.0333,5.4667,12,0.7667,33.7333,12.0333,23.4333,1.7333,5.0526,10.5440,5,20,1,4,6.2667,0.1567,4
25,40.0333,1.3667,0.0000,4.8333,5,1.2333,32.6000,17.2333,18.6000,3.2333,9.5883,8.2207,11,15,2,2,7.4333,0.1857,3
26,40.0333,0.0000,2.6333,7.9333,9,1.4667,28.0000,13.5000,16.4333,1.9333,7.0873,6.7936,12,16,2,2,12.0333,0.3006,3
27,40.0000,0.0000,0.2000,5.9667,10,0.5333,33.3000,20.5000,15.6333,2.8333,10.8735,9.4689,24,17,3,2,6.7000,0.1675,3
28,40.0000,0.8333,2.9000,5.2333,11,1.5333,29.5000,17.8000,17.7667,6.0667,8.0663,7.4522,13,13,4,2,10.5000,0.2625,3
29,40.0333,6.6000,0.9667,5.3667,11,1.1000,26.0000,15.2333,14.0000,3.2333,7.4100,6.2458,11,11,2,2,14.0333,0.3505,4
30,40.0333,0.3000,1.5667,7.6667,13,1.0333,29.4667,12.6000,17.8333,0.9667,7.1799,7.5718,12,15,2,2,10.5667,0.2639,3
31,40.0000,0.2667,0.4333,8.5667,16,2.8000,27.9333,13.6000,16.7667,2.4333,5.4503,8.2147,11,12,2,2,12.0667,0.3017,3
32,40.0333,1.1333,0.0000,6.0000,10,0.8333,32.0667,14.7000,17.6667,0.3000,7.8883,7.7073,13,13,2,2,7.9667,0.1990,3
33,40.0333,0.3000,1.9667,8.6667,12,1.8333,27.2667,18.9000,17.5000,9.1333,7.5510,6.4801,17,13,2,2,12.7667,0.3189,3
34,40.0333,0.9000,0.0000,6.5333,11,0.9333,31.6667,23.6333,14.8667,6.8333,11.2973,6.2373,25,11,4,2,8.3667,0.2090,3
