episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max
0,40.0000,40.0000,32.2667,1.2397,16,15,0.9256,1.1669,1.6853,0.7655,0.6464,1.6223,2.2945
1,40.0000,39.1333,31.4667,1.2712,19,18,0.5487,1.0784,1.5703,0.6578,0.5926,2.6772,2.4320
2,40.0000,40.0000,33.8000,1.1834,13,12,0.5099,1.1161,1.4246,0.6734,0.6260,2.4728,2.2790
3,40.0333,39.2333,31.8667,1.2563,15,14,0.9268,1.3902,1.8866,0.6662,0.6826,1.5782,2.1434
4,40.0333,39.0667,30.8333,1.2984,23,22,0.6054,1.0800,1.3732,0.5898,0.5923,2.2087,2.8619
5,40.0000,39.7000,32.9333,1.2146,18,17,0.7389,1.2986,1.4333,0.7143,0.6359,1.5517,1.6600
6,40.0000,39.4333,30.9333,1.2931,20,19,0.6746,1.0412,1.3512,0.6315,0.6016,2.1422,2.6465
7,40.0333,38.6667,30.7667,1.3012,13,12,0.6143,1.0944,1.0239,0.6859,0.6007,1.9501,2.0371
8,40.0000,39.1333,29.3667,1.3621,18,17,0.6776,1.0230,0.9464,0.6538,0.6020,1.5448,1.7440
9,40.0000,40.0000,31.3333,1.2766,20,19,0.7649,1.0708,0.9407,0.6280,0.6265,2.1924,2.1228
10,40.0333,40.0000,31.2667,1.2804,15,14,0.8412,1.1609,1.4126,0.7206,0.6336,2.3941,3.6495
11,40.0333,39.2000,31.0333,1.2900,19,18,0.6702,1.0230,1.3750,0.5970,0.6154,3.8538,5.1982
12,40.0000,39.0333,32.5333,1.2295,21,20,0.6496,1.0752,1.5968,0.6871,0.6522,2.2598,2.3766
13,40.0000,35.7667,28.0333,1.4269,17,16,0.8811,1.2285,1.7323,0.6322,0.6247,1.5664,2.5048
14,40.0333,40.0333,33.2000,1.2058,19,18,0.7600,1.0357,1.2860,0.6358,0.6223,2.1042,3.1738
15,40.0333,40.0333,30.5333,1.3111,23,22,0.7729,1.5317,2.0420,0.6328,0.6536,1.6690,2.7773
16,40.0333,39.1667,33.2333,1.2046,15,14,0.8937,1.0589,1.5026,0.7126,0.7023,1.5182,2.2463
17,40.0000,39.1667,31.4667,1.2712,14,13,0.8305,1.1262,1.6544,0.6746,0.6463,1.8040,2.0824
18,40.0000,39.4667,31.7000,1.2618,18,17,0.6120,1.0555,1.4255,0.6908,0.6386,2.0325,2.5280
19,40.0333,38.3000,32.7000,1.2243,13,12,0.6188,1.0675,1.4784,0.6592,0.6135,2.3223,2.6720
20,40.0000,39.3667,34.1000,1.1730,11,10,0.6295,1.0854,1.1322,0.6429,0.6298,1.5309,2.3038
21,40.0333,36.7000,30.5667,1.3097,10,9,0.9858,1.3149,1.5635,0.7548,0.6738,1.8805,2.2018
22,40.0000,40.0000,34.1000,1.1730,12,11,0.7869,1.2255,1.6928,0.5888,0.6460,1.5455,2.4613
23,40.0333,40.0333,33.8000,1.1844,9,8,0.7535,1.1192,1.7414,0.7293,0.6645,2.2004,3.0832
24,40.0000,40.0000,34.7333,1.1516,13,12,0.5576,1.0299,1.5110,0.6408,0.6368,3.2147,2.3229
25,40.0333,38.7667,33.2000,1.2058,6,5,0.7008,1.1301,1.3340,0.7473,0.6662,1.5600,2.0223
26,40.0333,37.5000,30.8667,1.2970,10,9,0.7171,1.0949,1.3262,0.6848,0.6437,2.2689,2.5592
27,40.0000,39.9000,35.2000,1.1364,11,10,0.3447,1.0910,1.0410,0.7010,0.6011,4.7115,3.0364
28,40.0000,36.4667,32.3333,1.2371,12,11,0.6371,1.1127,1.2748,0.7383,0.6631,2.6525,2.6822
29,40.0333,32.6667,27.7333,1.4435,12,11,0.5649,0.9507,1.3901,0.6090,0.6297,2.0803,2.9998
30,40.0333,38.3667,31.8667,1.2563,14,13,0.5722,1.0592,1.0296,0.6839,0.6081,3.1594,2.4095
31,40.0000,39.5000,32.9333,1.2146,17,16,0.8492,1.1591,1.4804,0.7708,0.6662,5.5887,3.5562
32,40.0333,39.0000,34.1667,1.1717,11,10,0.5093,1.3682,1.8466,0.7152,0.6842,3.1432,3.6732
33,40.0333,37.9667,29.8333,1.3419,13,12,0.9263,1.0279,1.4204,0.6930,0.6725,1.2041,1.8311
34,40.0333,39.2333,34.1333,1.1729,12,11,0.3691,1.0158,1.4420,0.6111,0.6328,5.9420,5.5627
35,40.0000,39.3333,32.5000,1.2308,13,12,0.7159,1.0482,1.3665,0.7201,0.6780,2.2627,2.7145
36,40.0333,40.0333,33.7333,1.1868,15,14,0.7549,1.2452,1.6831,0.7333,0.6587,2.4720,3.9066
37,40.0000,32.7333,27.5000,1.4545,9,8,0.8885,1.1139,1.7311,0.7248,0.6539,1.3768,2.0339
38,40.0333,39.4333,29.5000,1.3571,16,15,0.6407,1.0379,1.3304,0.6015,0.5983,2.3002,2.6701
39,40.0000,38.2333,30.7667,1.3001,12,11,0.6847,1.2739,1.6349,0.7142,0.6282,3.7769,4.4744
40,40.0333,34.9667,28.9000,1.3852,9,8,0.5063,1.0662,1.3724,0.6497,0.5980,3.0175,4.0363
41,40.0333,39.4000,26.4000,1.5164,8,7,0.8548,1.2942,1.7620,0.7005,0.6868,1.4788,2.5625
42,40.0000,39.9000,31.3000,1.2780,16,15,0.7316,1.0160,1.3624,0.7169,0.5981,1.5264,1.9563
43,40.0333,39.4333,33.0333,1.2119,13,12,0.8224,1.2093,1.7061,0.6841,0.6619,1.5083,2.1689
44,40.0000,38.3333,32.9000,1.2158,9,8,0.9027,1.4265,1.9736,0.6773,0.6473,1.8429,2.6684
45,40.0333,39.8000,33.9000,1.1809,9,8,0.9980,1.3827,1.5345,0.7160,0.6859,2.1614,2.4135
46,40.0333,40.0333,33.0667,1.2107,18,17,0.6210,1.1156,1.1358,0.6068,0.6231,6.7388,4.2025
47,40.0333,40.0333,37.1667,1.0771,8,7,0.7300,1.3356,1.7984,0.7272,0.6640,2.3848,3.0591
48,40.0000,40.0000,35.8667,1.1152,7,6,0.8885,1.2248,1.6957,0.7278,0.6887,1.7311,2.1535
49,40.0333,40.0333,34.1000,1.1740,11,10,0.7087,1.1956,1.6698,0.6712,0.6967,8.2967,4.4275
50,40.0333,39.7333,36.4667,1.0978,9,8,0.5814,1.5708,1.8580,0.7705,0.6805,2.0422,2.9308
51,40.0333,40.0333,37.1333,1.0781,9,8,0.1544,0.9464,0.9046,0.6101,0.5890,2.4492,2.3173
52,40.0000,39.2667,35.5000,1.1268,10,9,0.3493,1.0421,0.9366,0.7496,0.5735,7.4864,5.3456
53,40.0000,39.5667,33.5000,1.1940,16,15,0.4915,1.5321,1.7371,0.6802,0.6379,3.4895,3.9688
54,40.0333,40.0333,36.2333,1.1049,14,13,0.3220,1.0569,1.0749,0.6570,0.5938,12.4387,9.7827
55,40.0333,39.7667,34.1333,1.1729,15,14,0.7129,1.5788,1.5998,0.7185,0.6557,3.1240,4.1715
56,40.0333,38.4333,33.6000,1.1915,14,13,0.7262,1.1008,1.7234,0.6562,0.6562,1.7732,1.8734
57,40.0000,39.4000,29.9333,1.3363,21,20,0.4053,1.0063,1.1048,0.5378,0.5680,2.0382,2.7416
58,40.0000,34.6000,30.8000,1.2987,12,11,0.4188,1.0095,1.1724,0.6980,0.6602,1.7970,2.1723
59,40.0333,39.9333,34.4667,1.1615,12,11,0.8646,1.4044,1.5788,0.6849,0.7109,3.6520,4.5441
60,40.0000,38.8333,31.6333,1.2645,17,16,0.7429,1.0667,1.3903,0.7017,0.6173,1.7708,2.4747
61,40.0333,40.0333,31.5667,1.2682,14,13,0.8437,1.5563,1.8052,0.6962,0.6894,1.9772,2.6272
62,40.0000,39.6667,35.4667,1.1278,9,8,0.3252,0.8390,1.1713,0.4363,0.5819,3.4418,2.6020
63,40.0000,38.6667,30.7667,1.3001,13,12,0.8332,1.0872,1.3446,0.7571,0.6381,4.6281,2.3521
64,40.0000,39.5000,34.2333,1.1685,12,11,0.8033,1.4493,1.4575,0.6998,0.6414,3.2205,3.1162
65,40.0000,38.3000,32.4667,1.2320,18,17,0.7413,1.0713,1.0496,0.7753,0.6244,2.1195,1.5887
66,40.0333,38.0333,30.0000,1.3344,16,15,0.8433,1.1342,0.9903,0.7269,0.6017,2.6279,2.0044
67,40.0000,39.7333,34.2333,1.1685,15,14,0.6602,1.0560,1.0284,0.7544,0.6185,2.6760,2.3571
68,40.0333,39.3333,34.7333,1.1526,11,10,0.6775,1.0694,1.0502,0.7369,0.6277,1.7514,2.2254
69,40.0333,38.9333,35.3333,1.1330,8,7,0.7972,1.1600,1.5841,0.8134,0.6570,1.8492,2.1520
70,40.0000,39.4333,33.6667,1.1881,14,13,0.6436,1.0253,1.1568,0.7501,0.6360,1.7968,2.7118
71,40.0333,39.3333,31.4667,1.2722,13,12,0.8602,1.0174,1.1436,0.6883,0.6187,2.2574,2.1241
72,40.0000,39.4000,33.9000,1.1799,11,10,0.9027,1.1337,1.5491,0.7752,0.6694,5.1324,2.9654
73,40.0333,40.0333,37.3667,1.0714,10,9,0.1802,0.9960,0.8379,0.6618,0.5441,7.3250,3.6131
74,40.0000,38.8667,36.7000,1.0899,8,7,0.0872,1.0058,0.8494,0.2913,0.4274,6.7510,3.8955
75,40.0333,38.3333,36.5333,1.0958,7,6,0.1068,0.4055,0.6821,0.2242,0.3721,8.6713,7.1828
76,40.0333,38.4667,33.5333,1.1938,11,10,0.3956,1.2892,0.9374,0.6514,0.5692,5.8116,3.2415
77,40.0000,40.0000,36.2333,1.1040,11,10,0.5409,1.2053,1.4721,0.6833,0.6552,4.4937,2.9864
78,40.0000,37.4667,31.8667,1.2552,10,9,0.8619,1.2758,1.3568,0.7280,0.6345,2.4310,2.7702
79,40.0333,40.0333,36.9333,1.0839,8,7,0.0912,0.6603,1.5004,0.4088,0.4292,5.5533,3.1853
80,40.0333,39.7333,34.8000,1.1504,11,10,0.6849,1.3373,1.7710,0.6969,0.6435,2.5637,2.4414
81,40.0333,39.7667,34.5333,1.1593,12,11,0.4035,1.0018,0.9033,0.6379,0.6174,2.8448,3.3787
82,40.0000,39.9000,36.8667,1.0850,9,8,0.3318,1.1771,1.0383,0.7340,0.6221,3.9570,3.7602
83,40.0333,40.0333,35.8000,1.1182,10,9,0.1890,0.8319,0.9013,0.4835,0.5346,5.2232,4.2988
84,40.0333,40.0333,38.9333,1.0283,6,5,0.0334,0.1586,0.7767,0.0851,0.3096,6.2144,3.6772
85,40.0000,39.3333,36.5000,1.0959,9,8,0.6064,1.1739,1.2232,0.8343,0.6805,6.2220,3.7492
86,40.0333,39.8333,37.6333,1.0638,7,6,0.2002,0.9860,1.0977,0.7254,0.6409,4.3135,2.7623
87,40.0333,40.0333,33.9000,1.1809,14,13,0.6745,1.0478,0.9680,0.8273,0.6183,2.7766,2.5649
88,40.0333,39.0333,35.1333,1.1395,9,8,0.7049,1.0926,1.1135,0.7905,0.6321,1.9636,2.2119
89,40.0000,40.0000,36.1333,1.1070,7,6,0.5664,1.1324,0.9680,0.8005,0.6421,5.6722,2.9162
90,40.0333,39.9000,35.8333,1.1172,14,13,0.4140,1.2486,1.4331,0.7209,0.6485,3.8564,2.9763
91,40.0000,39.9000,35.3000,1.1331,13,12,0.5656,1.2450,1.7018,0.7359,0.6686,3.2744,3.2282
92,40.0000,39.1333,35.1333,1.1385,13,12,0.3634,1.0963,0.8502,0.5993,0.6105,2.6537,2.3061
93,40.0000,39.4333,32.2333,1.2410,16,15,0.8097,1.1338,1.6773,0.7930,0.6511,1.9991,2.1951
