episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
0,40.0000,40.0000,29.9333,1.3363,16,15,0.9031,1.1914,1.7178,0.8299,0.7433,1.6223,2.2945,3
1,40.0000,39.1333,30.1333,1.3274,19,18,0.8872,1.4126,1.8753,0.8264,0.7346,2.6772,2.4320,3
2,40.0000,40.0000,31.7000,1.2618,13,12,0.8717,1.1797,1.5078,0.7912,0.7756,2.4728,2.2790,3
3,40.0333,39.2333,29.3667,1.3632,15,14,0.9410,1.3781,1.8575,0.7411,0.7745,1.5782,2.1434,3
4,40.0333,39.0667,29.5667,1.3540,23,22,0.6888,1.1247,1.4883,0.6847,0.6923,2.2087,2.8619,3
5,40.0000,39.7000,30.7667,1.3001,18,17,0.7931,1.2648,1.3323,0.7826,0.7203,1.5517,1.6600,3
6,40.0000,39.4333,29.2667,1.3667,20,19,0.7301,1.0665,1.2087,0.7459,0.6914,2.1422,2.6465,3
7,40.0333,38.6667,28.4000,1.4096,13,12,0.9272,1.1049,1.5148,0.7854,0.7361,1.9501,2.0371,3
8,40.0000,39.1333,27.7333,1.4423,18,17,0.7680,1.0373,1.4920,0.7040,0.7057,1.5448,1.7440,3
9,40.0000,40.0000,29.5333,1.3544,20,19,0.8217,1.0683,1.6614,0.6771,0.7331,2.1924,2.1228,3
10,40.0333,40.0000,29.0667,1.3773,15,14,0.8222,1.1872,1.3787,0.7830,0.7168,2.3941,3.6495,3
11,40.0333,39.2000,29.5333,1.3555,19,18,0.7438,1.1926,1.4276,0.7076,0.7257,3.8538,5.1982,3
12,40.0000,39.0333,30.8333,1.2973,21,20,0.8508,1.3194,1.9262,0.7481,0.7713,2.2598,2.3766,3
13,40.0000,35.7667,25.9333,1.5424,17,16,0.9113,1.2914,1.7555,0.6966,0.7140,1.5664,2.5048,3
14,40.0333,40.0333,31.2667,1.2804,19,18,0.7313,1.0425,1.3008,0.6958,0.7103,2.1042,3.1738,3
15,40.0333,40.0333,28.9667,1.3820,23,22,0.7802,1.5367,2.1146,0.7016,0.7374,1.6690,2.7773,3
16,40.0333,39.1667,30.5667,1.3097,15,14,0.9738,1.2597,1.8900,0.7907,0.7839,1.5182,2.2463,3
17,40.0000,39.1667,29.0667,1.3761,14,13,0.8578,1.1103,1.7619,0.7368,0.7296,1.8040,2.0824,3
18,40.0000,39.4667,30.0333,1.3319,18,17,0.7370,1.1540,1.5327,0.8187,0.7122,2.0325,2.5280,3
