episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
0,40.0000,40.0000,34.9000,1.1461,16,15,0.1337,0.2797,0.7233,0.1389,0.2605,1.6223,2.2945,3
1,40.0000,39.1333,33.4333,1.1964,19,18,0.1645,0.3966,0.8560,0.1338,0.2782,2.6772,2.4320,3
2,40.0000,40.0000,35.6000,1.1236,13,12,0.1114,0.3187,0.8253,0.0967,0.2209,2.4728,2.2790,3
3,40.0333,39.2333,33.9000,1.1809,15,14,0.1318,0.2797,0.7117,0.1261,0.2408,1.5782,2.1434,3
4,40.0333,39.0667,32.0333,1.2497,23,22,0.1935,0.2634,1.0957,0.1114,0.2514,2.2087,2.8619,3
5,40.0000,39.7000,34.7333,1.1516,18,17,0.1363,0.1624,0.6521,0.0918,0.2183,1.5517,1.6600,3
6,40.0000,39.4333,33.4667,1.1952,20,19,0.1633,0.2686,1.0603,0.1117,0.2542,2.1422,2.6465,3
7,40.0333,38.6667,32.1333,1.2459,13,12,0.1359,0.1859,0.6281,0.0917,0.2351,1.9501,2.0371,3
8,40.0000,39.1333,32.2333,1.2410,18,17,0.1665,0.2737,0.8869,0.0850,0.2195,1.5448,1.7440,3
9,40.0000,40.0000,33.6333,1.1893,20,19,0.1655,0.3315,0.7707,0.1136,0.2722,2.1924,2.1228,3
10,40.0333,40.0000,32.8667,1.2181,15,14,0.1460,0.1531,0.5853,0.0855,0.1741,2.3941,3.6495,3
11,40.0333,39.2000,33.2667,1.2034,19,18,0.1593,0.3505,1.5688,0.0816,0.2414,3.8538,5.1982,3
12,40.0000,39.0333,33.8667,1.1811,21,20,0.1535,0.2389,0.8847,0.1091,0.2878,2.2598,2.3766,3
13,40.0000,35.7667,29.8667,1.3393,17,16,0.1663,0.3009,0.7469,0.0765,0.2284,1.5664,2.5048,3
14,40.0333,40.0333,35.7667,1.1193,19,18,0.1361,0.2018,0.6514,0.0861,0.2009,2.1042,3.1738,3
15,40.0333,40.0333,33.0667,1.2107,23,22,0.1996,0.2199,0.8742,0.0924,0.2411,1.6690,2.7773,3
16,40.0333,39.1667,35.6333,1.1235,15,14,0.1141,0.2824,1.3828,0.1170,0.2676,1.5182,2.2463,3
17,40.0000,39.1667,34.5667,1.1572,14,13,0.1157,0.3168,0.8695,0.1369,0.2491,1.8040,2.0824,3
18,40.0000,39.4667,33.5333,1.1928,18,17,0.1431,0.2828,1.3109,0.1153,0.2687,2.0325,2.5280,3
19,40.0333,38.3000,35.8000,1.1182,13,12,0.0987,0.4209,0.9405,0.1467,0.2164,2.3223,2.6720,3
20,40.0000,39.3667,36.7667,1.0879,11,10,0.0689,0.1938,0.9044,0.1026,0.3010,1.5309,2.3038,3
21,40.0333,36.7000,33.0000,1.2131,10,9,0.0848,0.2170,0.7748,0.0889,0.2663,1.8805,2.2018,3
22,40.0000,40.0000,37.1667,1.0762,12,11,0.0771,0.2210,0.8849,0.1058,0.2268,1.5455,2.4613,3
23,40.0333,40.0333,37.0333,1.0810,9,8,0.0594,0.2139,0.9251,0.0839,0.1835,2.2004,3.0832,3
24,40.0000,40.0000,37.2667,1.0733,13,12,0.0850,0.2716,0.8699,0.0935,0.3122,3.2147,2.3229,3
25,40.0333,38.7667,35.8667,1.1162,6,5,0.0595,0.2843,0.9766,0.1227,0.1961,1.5600,2.0223,3
26,40.0333,37.5000,32.7000,1.2243,10,9,0.1060,0.3211,1.4927,0.1106,0.2477,2.2689,2.5592,3
27,40.0000,39.9000,36.3667,1.0999,11,10,0.0761,0.1489,0.6313,0.0822,0.1947,4.7115,3.0364,3
28,40.0000,36.4667,33.8667,1.1811,12,11,0.0886,0.3215,1.0680,0.1013,0.2107,2.6525,2.6822,3
29,40.0333,32.6667,29.9667,1.3359,12,11,0.1012,0.2151,0.6829,0.0871,0.2190,2.0803,2.9998,3
30,40.0333,38.3667,34.3333,1.1660,14,13,0.1184,0.2483,1.0284,0.1088,0.2428,3.1594,2.4095,3
31,40.0000,39.5000,35.1667,1.1374,17,16,0.1365,0.3192,1.0770,0.1535,0.2705,5.5887,3.5562,3
32,40.0333,39.0000,35.6000,1.1245,11,10,0.0824,0.3077,0.8238,0.1232,0.2162,3.1432,3.6732,3
33,40.0333,37.9667,33.0000,1.2131,13,12,0.1253,0.2779,0.7727,0.1028,0.2168,1.2041,1.8311,3
34,40.0333,39.2333,35.6667,1.1224,12,11,0.0935,0.2021,1.1902,0.0918,0.1932,5.9420,5.5627,3
35,40.0000,39.3333,35.6667,1.1215,13,12,0.0963,0.3984,1.2718,0.0753,0.2119,2.2627,2.7145,3
36,40.0333,40.0333,35.9667,1.1131,15,14,0.1066,0.2673,0.9887,0.0998,0.2141,2.4720,3.9066,3
37,40.0000,32.7333,29.6000,1.3514,9,8,0.0980,0.3397,0.4340,0.0930,0.1616,1.3768,2.0339,3
38,40.0333,39.4333,31.6667,1.2642,16,15,0.1663,0.2600,1.1707,0.1109,0.2623,2.3002,2.6701,3
39,40.0000,38.2333,34.1000,1.1730,12,11,0.0978,0.2217,0.9142,0.0912,0.2843,3.7769,4.4744,3
40,40.0333,34.9667,32.4333,1.2343,9,8,0.0647,0.2149,0.8634,0.0916,0.2245,3.0175,4.0363,3
41,40.0333,39.4000,27.7333,1.4435,8,7,0.1767,0.2966,0.4092,0.1228,0.1947,1.4788,2.5625,3
42,40.0000,39.9000,35.2000,1.1364,16,15,0.1269,0.2776,0.7575,0.0957,0.1946,1.5264,1.9563,3
43,40.0333,39.4333,36.5667,1.0948,13,12,0.0966,0.2950,0.9855,0.0915,0.1958,1.5083,2.1689,3
44,40.0000,38.3333,36.3000,1.1019,9,8,0.0523,0.2521,0.7326,0.0984,0.3439,1.8429,2.6684,3
45,40.0333,39.8000,36.3667,1.1008,9,8,0.0596,0.1128,0.4736,0.0595,0.1530,2.1614,2.4135,3
46,40.0333,40.0333,35.6667,1.1224,18,17,0.1206,0.2375,0.8631,0.1202,0.2719,6.7388,4.2025,3
47,40.0333,40.0333,38.7333,1.0336,8,7,0.0491,0.2344,1.0084,0.0860,0.2518,2.3848,3.0591,3
48,40.0000,40.0000,37.9333,1.0545,7,6,0.0475,0.3741,0.9065,0.1343,0.2658,1.7311,2.1535,3
49,40.0333,40.0333,35.8333,1.1172,11,10,0.0921,0.3253,1.6698,0.1075,0.2240,8.2967,4.4275,3
50,40.0333,39.7333,37.4000,1.0704,9,8,0.0651,0.2473,0.8311,0.1227,0.2468,2.0422,2.9308,3
51,40.0333,40.0333,37.9333,1.0554,9,8,0.0571,0.2976,1.1314,0.1188,0.3496,2.4492,2.3173,3
52,40.0000,39.2667,37.1333,1.0772,10,9,0.0601,0.2300,0.6253,0.0751,0.2648,7.4864,5.3456,3
53,40.0000,39.5667,34.3000,1.1662,16,15,0.1351,0.3247,0.7600,0.0942,0.2345,3.4895,3.9688,3
54,40.0333,40.0333,37.1000,1.0791,14,13,0.0907,0.3115,0.8749,0.0999,0.2262,12.4387,9.7827,3
